date,entry_rate,xgb_direction,xgb_confidence,lstm_predicted_close,lstm_range_low,lstm_range_high,ensemble_direction,ensemble_confidence,signal_strength,act_on_signal,actual_rate_48h,actual_direction,direction_correct,rate_in_predicted_range,rate_improvement_paise,pnl_per_100k_usd,risk_flags
2025-11-20,88.4872,UP,0.4544,88.4194,88.0843,88.7685,NEUTRAL,0.5,WEAK,False,88.6922,UP,,True,0.0,0.0,['no_consensus']
2025-11-21,88.6922,NEUTRAL,0.5893,88.6199,88.2864,88.9711,DOWN,0.416,WEAK,False,88.6922,NEUTRAL,False,True,0.0,0.0,['low_confidence']
2025-11-22,88.6922,DOWN,0.3697,88.615,88.2834,88.9684,DOWN,0.465,WEAK,False,89.634,UP,False,False,0.0,0.0,['low_confidence']
2025-11-23,88.6922,DOWN,0.3923,88.61,88.2805,88.9656,DOWN,0.478,WEAK,False,89.1478,UP,False,False,0.0,0.0,['low_confidence']
2025-11-24,89.634,DOWN,0.5174,89.5468,89.2195,89.9046,DOWN,0.551,WEAK,False,89.1506,DOWN,True,False,0.0,0.0,['circuit_breaker']
2025-11-25,89.1478,DOWN,0.5054,89.0562,88.731,89.4157,DOWN,0.444,WEAK,False,89.163,NEUTRAL,False,True,0.0,0.0,['high_volatility']
2025-11-26,89.1506,DOWN,0.493,89.0551,88.732,89.4161,DOWN,0.437,WEAK,False,89.3648,UP,False,True,0.0,0.0,['high_volatility']
2025-11-27,89.163,DOWN,0.4047,89.0643,88.743,89.4265,DOWN,0.385,WEAK,False,89.3648,UP,False,True,0.0,0.0,"['low_confidence', 'high_volatility']"
2025-11-28,89.3648,NEUTRAL,0.8145,89.2631,88.9435,89.6264,DOWN,0.203,WEAK,False,89.3648,NEUTRAL,False,True,0.0,0.0,"['low_confidence', 'high_volatility']"
2025-11-29,89.3648,DOWN,0.398,89.2604,88.9424,89.6247,DOWN,0.481,WEAK,False,89.35,NEUTRAL,False,True,0.0,0.0,['low_confidence']
2025-11-30,89.3648,DOWN,0.4032,89.258,88.9415,89.6233,DOWN,0.484,WEAK,False,89.6127,UP,False,True,0.0,0.0,['low_confidence']
2025-12-01,89.35,UP,0.4182,89.241,88.9258,89.6071,NEUTRAL,0.5,WEAK,False,89.9172,UP,,False,0.0,0.0,['no_consensus']
2025-12-02,89.6127,UP,0.4117,89.5014,89.1877,89.8685,NEUTRAL,0.5,WEAK,False,90.1705,UP,,False,0.0,0.0,['no_consensus']
2025-12-03,89.9172,DOWN,0.424,89.8039,89.4917,90.1714,DOWN,0.496,WEAK,False,89.8364,NEUTRAL,False,True,0.0,0.0,['low_confidence']
2025-12-04,90.1705,DOWN,0.4087,90.0555,89.7446,90.4233,DOWN,0.487,WEAK,False,89.8364,DOWN,True,True,0.0,0.0,['low_confidence']
2025-12-05,89.8364,NEUTRAL,0.8195,89.7198,89.4101,90.0878,DOWN,0.3,WEAK,False,89.8364,NEUTRAL,False,True,0.0,0.0,['low_confidence']
2025-12-06,89.8364,DOWN,0.4642,89.7187,89.4098,90.0869,DOWN,0.52,WEAK,True,89.938,NEUTRAL,False,True,-10.2,-10160.0,[]
2025-12-07,89.8364,NEUTRAL,0.3387,89.7177,89.4097,90.086,DOWN,0.541,WEAK,True,90.13,UP,False,False,-29.4,-29359.0,[]
2025-12-08,89.938,UP,0.3606,89.8183,89.5111,90.1868,NEUTRAL,0.5,WEAK,False,89.9169,NEUTRAL,,True,0.0,0.0,['no_consensus']
2025-12-09,90.13,UP,0.347,90.0093,89.7029,90.3779,NEUTRAL,0.5,WEAK,False,89.793,DOWN,,True,0.0,0.0,['no_consensus']
2025-12-10,89.9169,DOWN,0.4448,89.7951,89.4897,90.1638,DOWN,0.509,WEAK,True,90.253,UP,False,False,-33.6,-33610.0,[]
2025-12-11,89.793,DOWN,0.4229,89.6702,89.3657,90.0389,DOWN,0.496,WEAK,False,90.253,UP,False,False,0.0,0.0,['low_confidence']
2025-12-12,90.253,NEUTRAL,0.703,90.1295,89.8257,90.4982,DOWN,0.359,WEAK,False,90.253,NEUTRAL,False,True,0.0,0.0,['low_confidence']
2025-12-13,90.253,DOWN,0.4899,90.1292,89.8256,90.4979,DOWN,0.535,WEAK,True,90.577,UP,False,False,-32.4,-32401.0,[]
2025-12-14,90.253,DOWN,0.5231,90.1289,89.8256,90.4977,DOWN,0.555,WEAK,True,90.7769,UP,False,False,-52.4,-52390.0,[]
2025-12-15,90.577,DOWN,0.4984,90.4526,90.1496,90.8214,DOWN,0.54,WEAK,True,90.9489,UP,False,False,-37.2,-37189.0,[]
2025-12-16,90.7769,DOWN,0.3976,90.6521,90.3494,91.0209,DOWN,0.481,WEAK,False,90.4137,DOWN,True,True,0.0,0.0,['low_confidence']
2025-12-17,90.9489,DOWN,0.4533,90.8239,90.5214,91.1927,DOWN,0.514,WEAK,True,90.2558,DOWN,True,False,69.3,69310.0,[]
2025-12-18,90.4137,DOWN,0.3969,90.2886,89.9861,90.6575,DOWN,0.481,WEAK,False,90.2558,DOWN,True,True,0.0,0.0,['low_confidence']
2025-12-19,90.2558,NEUTRAL,0.8333,90.1305,89.8282,90.4994,DOWN,0.293,WEAK,False,90.2558,NEUTRAL,False,True,0.0,0.0,['low_confidence']
2025-12-20,90.2558,NEUTRAL,0.339,90.1306,89.8282,90.4996,DOWN,0.541,WEAK,True,89.57,DOWN,True,False,68.6,68580.0,[]
2025-12-21,90.2558,DOWN,0.3453,90.1305,89.8282,90.4995,DOWN,0.45,WEAK,False,89.6039,DOWN,True,False,0.0,0.0,['low_confidence']
2025-12-22,89.57,UP,0.4443,89.4447,89.1425,89.8136,NEUTRAL,0.5,WEAK,False,89.5079,NEUTRAL,,True,0.0,0.0,['no_consensus']
2025-12-23,89.6039,UP,0.5269,89.4786,89.1765,89.8474,NEUTRAL,0.5,WEAK,False,89.5079,NEUTRAL,,True,0.0,0.0,['no_consensus']
2025-12-24,89.5079,UP,0.5021,89.3826,89.0806,89.7513,NEUTRAL,0.5,WEAK,False,90.1059,UP,,False,0.0,0.0,['no_consensus']
2025-12-25,89.5079,DOWN,0.4001,89.3824,89.0807,89.751,DOWN,0.482,WEAK,False,90.1059,UP,False,False,0.0,0.0,['low_confidence']
2025-12-26,90.1059,NEUTRAL,0.5955,89.98,89.6788,90.3485,DOWN,0.312,WEAK,False,90.1059,NEUTRAL,False,True,0.0,0.0,"['low_confidence', 'high_volatility']"
2025-12-27,90.1059,DOWN,0.398,89.9796,89.6789,90.3481,DOWN,0.481,WEAK,False,89.8293,DOWN,True,True,0.0,0.0,['low_confidence']
2025-12-28,90.1059,DOWN,0.383,89.9791,89.6789,90.3475,DOWN,0.472,WEAK,False,89.9,DOWN,True,True,0.0,0.0,['low_confidence']
2025-12-29,89.8293,UP,0.4281,89.7021,89.4024,90.0705,NEUTRAL,0.5,WEAK,False,89.7694,NEUTRAL,,True,0.0,0.0,['no_consensus']
2025-12-30,89.9,UP,0.4666,89.7724,89.4732,90.1408,NEUTRAL,0.5,WEAK,False,89.7694,NEUTRAL,,True,0.0,0.0,['no_consensus']
2025-12-31,89.7694,UP,0.5253,89.6415,89.3426,90.0099,NEUTRAL,0.5,WEAK,False,89.9619,UP,,True,0.0,0.0,['no_consensus']
2026-01-01,89.7694,UP,0.356,89.6412,89.3427,90.0096,NEUTRAL,0.5,WEAK,False,89.9619,UP,,True,0.0,0.0,['no_consensus']
2026-01-02,89.9619,NEUTRAL,0.7159,89.8335,89.5352,90.202,DOWN,0.352,WEAK,False,89.9619,NEUTRAL,False,True,0.0,0.0,['low_confidence']
2026-01-03,89.9619,UP,0.3533,89.8334,89.5352,90.2018,NEUTRAL,0.5,WEAK,False,90.007,NEUTRAL,,True,0.0,0.0,['no_consensus']
2026-01-04,89.9619,UP,0.4332,89.8331,89.5352,90.2015,NEUTRAL,0.5,WEAK,False,90.233,UP,,False,0.0,0.0,['no_consensus']
2026-01-05,90.007,UP,0.3995,89.878,89.5804,90.2464,NEUTRAL,0.5,WEAK,False,90.1661,UP,,True,0.0,0.0,['no_consensus']
2026-01-06,90.233,UP,0.6508,90.1038,89.8064,90.4723,NEUTRAL,0.5,WEAK,False,89.8644,DOWN,,True,0.0,0.0,['no_consensus']
2026-01-07,90.1661,UP,0.5569,90.0369,89.7395,90.4054,NEUTRAL,0.5,WEAK,False,89.9054,DOWN,,True,0.0,0.0,['no_consensus']
2026-01-08,89.8644,UP,0.4742,89.7353,89.4377,90.1039,NEUTRAL,0.5,WEAK,False,89.9054,NEUTRAL,,True,0.0,0.0,['no_consensus']
2026-01-09,89.9054,NEUTRAL,0.7086,89.7765,89.4787,90.1451,DOWN,0.355,WEAK,False,89.9054,NEUTRAL,False,True,0.0,0.0,['low_confidence']
