date,entry_rate,pred_low,pred_high,pred_close,actual_low,actual_high,actual_close,result,overlap_pct,regime,tpv_impact,pred_range_paise,actual_range_paise,high_error,low_error,total_error,position_error,width_error,risk_level,risk_score,risk_factors,recommended_buffer_paise,v1_result,v1_overlap,v1_pred_low,v1_pred_high,v2_result,v2_overlap,v2_pred_low,v2_pred_high
2026-01-02,89.9619,89.36609649658203,90.55819702148438,89.97850036621094,90.007,90.233,90.233,GREEN,100.0,range_bound,3089283,119.19999694824219,22.6,32.5,64.0999984741211,96.5999984741211,15.800000190734863,96.5999984741211,MILD,2,['Rate at 99.5th+ percentile — limited historical precedent for predictions'],5,YELLOW,84.69999694824219,89.7049,90.1984,GREEN,100.0,89.7183,90.2961
2026-01-05,90.007,89.41230010986328,90.60340118408203,90.02349853515625,90.1661,90.233,90.1661,GREEN,100.0,range_bound,3519012,119.0999984741211,6.7,37.0,75.4000015258789,112.4000015258789,19.200000762939453,112.4000015258789,MILD,2,['Rate at 99.5th+ percentile — limited historical precedent for predictions'],5,GREEN,100.0,89.7524,90.2424,GREEN,100.0,89.7639,90.3438
2026-01-06,90.233,89.63870239257812,90.82980346679688,90.2488021850586,89.8644,90.1661,89.8644,GREEN,100.0,range_bound,6304898,119.0999984741211,30.2,66.4000015258789,22.600000381469727,88.9000015258789,21.899999618530273,88.9000015258789,MILD,2,['Rate at 99.5th+ percentile — limited historical precedent for predictions'],5,YELLOW,61.79999923706055,89.9796,90.4679,YELLOW,58.29999923706055,89.9901,90.5713
2026-01-07,90.1661,89.57119750976562,90.76370239257812,90.18150329589844,89.8644,89.9054,89.9054,GREEN,100.0,range_bound,8153626,119.19999694824219,4.1,85.80000305175781,29.299999237060547,115.0999984741211,28.299999237060547,115.0999984741211,MILD,2,['Rate at 99.5th+ percentile — limited historical precedent for predictions'],5,RED,0.0,89.914,90.4012,RED,0.0,89.9236,90.5047
2026-01-08,89.8644,89.26909637451172,90.4623031616211,89.88040161132812,89.9054,90.236,90.236,GREEN,100.0,range_bound,2149662,119.30000305175781,33.1,22.600000381469727,63.599998474121094,86.30000305175781,20.5,86.30000305175781,MILD,2,['Rate at 99.5th+ percentile — limited historical precedent for predictions'],5,YELLOW,58.79999923706055,89.6138,90.0997,YELLOW,90.0,89.6226,90.2029
2026-01-09,89.9054,89.3102035522461,90.50270080566406,89.9218978881836,90.1327,90.236,90.1327,GREEN,100.0,range_bound,2533947,119.30000305175781,10.3,26.700000762939453,82.19999694824219,108.9000015258789,27.799999237060547,108.9000015258789,MILD,2,['Rate at 99.5th+ percentile — limited historical precedent for predictions'],5,YELLOW,7.800000190734863,89.6563,90.1408,GREEN,100.0,89.664,90.2443
2026-01-12,90.236,89.64080047607422,90.83180236816406,90.25389862060547,90.1327,90.273,90.273,GREEN,100.0,range_bound,5308380,119.0999984741211,14.0,55.900001525878906,49.20000076293945,105.0999984741211,3.299999952316284,105.0999984741211,MILD,2,['Rate at 99.5th+ percentile — limited historical precedent for predictions'],5,GREEN,100.0,89.9917,90.4716,GREEN,100.0,89.995,90.5749
2026-01-13,90.1327,89.5376968383789,90.72879791259766,90.15039825439453,90.1832,90.273,90.1832,GREEN,100.0,range_bound,4329766,119.0999984741211,9.0,45.599998474121094,64.5999984741211,110.0999984741211,9.5,110.0999984741211,MILD,2,['Rate at 99.5th+ percentile — limited historical precedent for predictions'],5,GREEN,100.0,89.89,90.3686,GREEN,100.0,89.892,90.4723
2026-01-14,90.273,89.67780303955078,90.86940002441406,90.29000091552734,90.1832,90.3616,90.3616,GREEN,100.0,range_bound,4823929,119.19999694824219,17.8,50.79999923706055,50.5,101.30000305175781,0.10000000149011612,101.30000305175781,ELEVATED,3,['Rate at 99.9th percentile of 22yr history — mean reversion risk is highest here'],12,GREEN,100.0,90.0315,90.5095,GREEN,100.0,90.0325,90.6133
2026-01-15,90.1832,89.58760070800781,90.77989959716797,90.19979858398438,90.3616,90.9045,90.9045,YELLOW,77.0,range_bound,-1183659,119.19999694824219,54.3,12.5,77.4000015258789,89.9000015258789,44.900001525878906,64.9000015258789,MILD,2,['Rate at 99.5th+ percentile — limited historical precedent for predictions'],5,YELLOW,10.800000190734863,89.9426,90.4201,YELLOW,29.799999237060547,89.943,90.5235
