feature,importance
volatility_5d,0.27910605
rate_trend_30d,0.25264794
high_vol_regime,0.10052291
rsi_14,0.075292595
rate_vs_30d_avg,0.074123174
volatility_20d,0.07085375
bb_position,0.020031467
rate_vs_52w_low,0.019329803
rate_acceleration,0.016250947
long_term_trend_1y,0.008831517
rate_vs_52w_high,0.007710891
rate_trend_90d,0.007090143
rate_change_1d,0.006824842
rate_vs_7d_avg,0.006426068
fed_funds_change_3m,0.003829341
cpi_yoy,0.0035183413
rate_change_5d,0.0034037794
momentum_consistency,0.003368678
rate_vs_alltime_percentile,0.00296769
days_to_next_rbi,0.00289805
rate_percentile_1y,0.0026960897
momentum_7d,0.0025997285
is_month_start,0.0025371155
day_of_week,0.0021860981
days_to_next_fed,0.002140177
rate_change_3d,0.0020344977
vix_change_1d,0.0019908946
fed_funds_level,0.0019522292
yield_spread_proxy,0.0018522646
us10y_level,0.0017185893
macd_histogram,0.0016358512
us10y_change_1d,0.0016153706
oil_dxy_divergence,0.0015711926
vix_level,0.0014734841
days_to_month_end,0.0013181354
dxy_vs_7d_avg,0.0012407224
yield_curve_spread,0.0009917208
oil_vs_30d_avg,0.0009880459
oil_change_1d,0.00090598897
dxy_change_1d,0.00086990674
rate_vs_5y_avg,0.00065386744
is_fed_week,0.0
is_rbi_week,0.0
is_month_end,0.0
is_decade_high,0.0
