feature,gain
is_friday,21.633676528930664
day_of_week,6.810872554779053
dxy_change_1d,4.710404872894287
is_monday,3.792036533355713
rate_vs_52w_low,3.6164233684539795
vix_change_1d,3.366655111312866
dxy_vs_7d_avg,3.271874189376831
volatility_20d,3.226585626602173
trend_strength,3.0493457317352295
rate_trend_90d,2.991046667098999
rate_vs_30d_avg,2.9852116107940674
rate_vs_7d_avg,2.978483200073242
vix_level,2.917276382446289
high_vol_regime,2.917264699935913
oil_vs_30d_avg,2.915778160095215
days_to_next_rbi,2.878431797027588
rate_change_5d,2.872502088546753
us10y_level,2.871837854385376
yield_spread_proxy,2.862339973449707
days_to_month_end,2.8335180282592773
rate_vs_52w_high,2.7780187129974365
rate_percentile_1y,2.7692153453826904
momentum_7d,2.681264638900757
rsi_14,2.6470367908477783
rate_trend_30d,2.582653045654297
is_trending_down,2.550151824951172
bb_position,2.5252912044525146
is_month_start,2.5187768936157227
macd_histogram,2.5035805702209473
regime_trending_up,2.502084732055664
is_month_end,2.4946670532226562
volatility_5d,2.4640870094299316
rate_change_3d,2.4341578483581543
rate_change_1d,2.38957142829895
days_to_next_fed,2.379955291748047
momentum_consistency,2.373244285583496
oil_change_1d,2.3314802646636963
rate_acceleration,2.3174829483032227
oil_dxy_divergence,2.306070566177368
us10y_change_1d,2.2510852813720703
regime_range_bound,1.7634267807006836
regime_trending_down,1.5073506832122803
is_trending_up,0.8699648380279541
